bin,jobnum,year,units,parktype,reqspaces,waivertype,waiverspaces
1087368,103174084,2011,30,required - high density,15,waiver - small/narrow,0
1089401,103322815,2013,39,required - high density,20,waiver - small/narrow,0
1088159,103368160,2010,8,required - high density,4,waiver - small/narrow,0
1088165,103523821,2010,37,required - high density,19,waiver - small/narrow,0
1089581,103630215,2016,14,required - high density,6,waiver - small/narrow,0
1054620,103731473,2017,4,required - high density,1,waiver - small num of spaces,0
1058136,103769254,2012,2,required - high density,1,waiver - small/narrow,0
1057953,104035312,2015,13,required - high density,7,waiver - small/narrow,0
1087740,104093428,2017,11,required - high density,6,waiver - small/narrow,0
1081362,104126802,2011,35,required - high density,11,waiver - small num of spaces,0
1088127,104136793,2011,22,required - high density,11,waiver - small/narrow,0
1088142,104149930,2016,6,required - high density,2,waiver - small num of spaces,0
1089523,104160916,2019,13,required - high density,7,waiver - small num of spaces,2
1088149,104196816,2011,4,required - high density,1,waiver - small num of spaces,0
1052468,104226035,2013,16,required - high density,6,waiver - small num of spaces,0
1087969,104251587,2010,21,required - high density,11,waiver - small/narrow,0
1088783,104308740,2010,50,required - high density,15,waiver - small num of spaces,0
1089730,104309687,2014,12,required - high density,6,waiver - small/narrow,0
1089124,104320110,2010,15,required - high density,8,waiver - small/narrow,0
1087838,104320129,2010,17,required - high density,9,waiver - small/narrow,0
1060104,104429968,2010,10,required - high density,5,waiver - small/narrow,0
1088153,104471938,2010,36,required - high density,18,waiver - small/narrow,0
1052311,104500238,2010,19,required - high density,10,waiver - small/narrow,0
1088162,104500693,2010,22,required - high density,7,waiver - small num of spaces,0
1083987,104510218,2018,64,required - high density,32,waiver - small num of spaces,17
1059340,104512591,2010,8,required - high density,4,waiver - small/narrow,0
1061578,104523464,2010,16,required - high density,8,waiver - small/narrow,0
1089332,104531231,2013,12,required - high density,6,waiver - small/narrow,0
1063701,104551414,2015,16,required - high density,8,waiver - small/narrow,0
1088734,104566578,2010,40,required - high density,20,waiver - small/narrow,0
1088733,104585325,2010,73,required - high density,29,waiver - small num of spaces,14
1052875,104590435,2010,21,required - high density,6,waiver - small num of spaces,0
1089085,104619646,2010,41,required - high density,21,waiver - small/narrow,0
1076370,104624300,2014,12,required - high density,4,waiver - small num of spaces,0
1088814,104627254,2011,22,required - high density,9,waiver - small/narrow,0
1088684,104627290,2011,8,required - high density,4,waiver - small/narrow,0
1051489,104631150,2012,229,required - high density,92,waiver - small num of spaces,77
1089312,104644832,2013,42,required - high density,21,waiver - small/narrow,0
1088601,104661037,2011,64,required - high density,19,waiver - small num of spaces,4
1087804,104693315,2010,46,required - high density,14,waiver - small num of spaces,0
1089789,104735324,2014,41,required - high density,16,waiver - small num of spaces,1
1087928,104739669,2010,38,required - high density,15,waiver - small num of spaces,0
1054724,104750930,2010,11,required - high density,3,waiver - small num of spaces,0
1088132,104760288,2011,86,required - high density,34,waiver - small/narrow,0
1088791,104773167,2011,12,required - high density,6,waiver - small/narrow,0
1089423,104794616,2014,50,required - high density,15,waiver - small num of spaces,0
1089414,104794625,2014,34,required - high density,10,waiver - small num of spaces,0
1088151,104797793,2010,28,required - high density,11,waiver - small num of spaces,0
1088139,104814355,2010,12,required - high density,6,waiver - small/narrow,0
1089718,104829072,2016,22,required - high density,11,waiver - small/narrow,0
1090411,104840932,2010,168,required - high density,67,waiver - small num of spaces,52
1088161,104845107,2010,16,required - high density,6,waiver - small num of spaces,0
1061573,104858049,2012,12,required - high density,6,waiver - small/narrow,0
1088689,104859191,2010,298,required - high density,149,waiver - small num of spaces,134
1088395,104866316,2010,12,required - high density,6,waiver - small/narrow,0
1088143,104870481,2013,11,required - high density,4,waiver - small num of spaces,0
1088145,104888481,2012,8,required - high density,4,waiver - small/narrow,0
1087830,104888702,2010,26,required - high density,13,waiver - small/narrow,0
1088604,104893527,2010,32,required - high density,16,waiver - small/narrow,0
1088263,104893929,2010,89,required - high density,36,waiver - small num of spaces,21
1089783,104898229,2016,20,required - high density,6,waiver - small num of spaces,0
1087968,104919778,2010,13,required - high density,7,waiver - small/narrow,0
1088775,110021413,2011,12,required - high density,6,waiver - small/narrow,0
1088141,110033605,2010,4,required - high density,1,waiver - small num of spaces,0
1089046,110041473,2010,111,required - high density,44,waiver - small num of spaces,29
1088480,110042551,2010,55,required - high density,17,waiver - small num of spaces,2
1089260,110060950,2017,26,required - high density,8,waiver - small num of spaces,0
1088610,110073571,2011,73,required - high density,29,waiver - small num of spaces,14
1088671,110086834,2015,60,required - high density,24,waiver - small num of spaces,9
1088701,110093559,2011,36,required - high density,11,waiver - small num of spaces,0
1060741,110093568,2011,20,required - high density,10,waiver - small/narrow,0
1089802,110093835,2016,29,required - high density,9,waiver - small num of spaces,0
1088270,110104413,2011,60,required - high density,24,waiver - small num of spaces,9
1087981,110112565,2013,16,required - high density,8,waiver - small/narrow,0
1088477,110118113,2011,27,required - high density,14,waiver - small/narrow,0
1089051,110118382,2012,4,required - high density,2,waiver - small/narrow,0
1088850,110121724,2011,11,required - high density,6,waiver - small num of spaces,1
1089076,110121733,2011,4,required - high density,2,waiver - small/narrow,0
1088805,110121742,2012,29,required - high density,15,waiver - small/narrow,0
1088264,110123955,2010,38,required - high density,11,waiver - small num of spaces,0
1088720,110131161,2010,16,required - high density,5,waiver - small num of spaces,0
1088851,110132491,2011,4,required - high density,2,waiver - small num of spaces,0
1052357,110133613,2011,58,required - high density,17,waiver - small num of spaces,2
1089182,110135880,2011,17,required - high density,9,waiver - small/narrow,0
1090678,110138271,2018,11,required - high density,3,waiver - small num of spaces,0
1089183,110140632,2011,13,required - high density,7,waiver - small/narrow,0
1090734,110145469,2017,5,required - high density,3,waiver - small/narrow,0
1089399,110148714,2012,12,required - high density,5,waiver - small num of spaces,0
1089060,110154653,2011,12,required - high density,4,waiver - small num of spaces,0
1089776,110154662,2015,20,required - high density,10,waiver - small/narrow,0
1089055,110182089,2011,12,required - high density,4,waiver - small num of spaces,0
1089054,110182098,2011,12,required - high density,6,waiver - small/narrow,0
1087552,110187547,2010,185,required - high density,74,waiver - small num of spaces,59
1088912,110198955,2012,123,required - high density,49,waiver - small num of spaces,34
1089539,110202370,2012,2,required - high density,1,waiver - small/narrow,0
1089526,110202389,2012,3,required - high density,2,waiver - small/narrow,0
1089942,110220350,2014,12,required - high density,6,waiver - small/narrow,0
1090410,110283229,2011,30,required - high density,12,waiver - small num of spaces,0
1064467,110284745,2011,86,required - high density,43,waiver - small num of spaces,28
1089154,110312313,2010,114,required - high density,23,waiver - small num of spaces,8
1089072,110375512,2010,40,required - high density,12,waiver - small num of spaces,0
1088305,110417503,2011,259,required - high density,104,waiver - small num of spaces,89
1089142,110438278,2011,31,required - high density,16,waiver - small/narrow,0
1088288,110439712,2011,65,required - high density,20,waiver - small num of spaces,5
1089109,110469261,2011,156,required - high density,62,waiver - small num of spaces,47
1089108,110469298,2011,70,required - high density,28,waiver - small num of spaces,13
1058744,120108882,2011,2,required - high density,1,waiver - small/narrow,0
1089103,120146190,2011,80,required - high density,40,waiver - small num of spaces,25
1088865,120175906,2011,49,required - high density,20,waiver - small/narrow,0
1088824,120210360,2012,65,required - high density,20,waiver - small num of spaces,5
1089400,120266210,2012,24,required - high density,7,waiver - small num of spaces,0
1053549,120284156,2013,8,required - high density,4,waiver - small/narrow,0
1089535,120335609,2014,14,required - high density,4,waiver - small num of spaces,0
1088448,120467075,2012,13,required - high density,7,waiver - small/narrow,0
1089725,120470613,2014,49,required - high density,25,waiver - small/narrow,0
1089692,120477803,2014,87,required - high density,44,waiver - small/narrow,0
1089726,120497523,2014,124,required - high density,50,waiver - small num of spaces,35
1088465,120523282,2014,7,required - high density,4,waiver - small num of spaces,0
1089773,120614193,2014,11,required - high density,6,waiver - small/narrow,0
1088830,120640896,2012,47,required - high density,14,waiver - small num of spaces,0
1054513,120643535,2013,173,required - high density,69,waiver - small num of spaces,54
1089445,120643544,2014,69,required - high density,28,waiver - small/narrow,0
1088670,120695186,2014,10,required - high density,3,waiver - small num of spaces,0
1088821,120785971,2014,140,required - high density,56,waiver - small num of spaces,41
1089797,120809287,2016,29,required - high density,15,waiver - small num of spaces,0
1090339,120841553,2018,8,required - high density,4,waiver - small/narrow,0
1089933,120841562,2014,2,required - high density,1,waiver - small/narrow,0
1062967,120880163,2015,44,required - high density,22,waiver - small/narrow,0
1089944,120945898,2015,8,required - high density,4,waiver - small num of spaces,0
1089854,121001174,2016,2,required - high density,1,waiver - small/narrow,0
1089940,121031775,2013,30,required - high density,12,waiver - small num of spaces,0
1088835,121036093,2014,29,required - high density,9,waiver - small num of spaces,0
1090564,121153651,2020,8,required - high density,4,waiver - small/narrow,0
1088872,121153777,2015,8,required - high density,4,waiver - small/narrow,0
1090503,121165069,2019,12,required - high density,6,waiver - small/narrow,0
1089788,121181149,2014,28,required - high density,14,waiver - small/narrow,0
1088906,121181158,2015,89,required - high density,45,waiver - small num of spaces,30
1090724,121181229,2018,39,required - high density,20,waiver - small/narrow,0
1089780,121181746,2014,194,required - high density,97,waiver - small num of spaces,82
1083034,121182530,2016,43,required - high density,17,waiver - small/narrow,0
1090600,121183343,2019,17,required - high density,5,waiver - small num of spaces,0
1089704,121183726,2014,176,required - high density,88,waiver - small num of spaces,73
1089911,121184173,2016,51,required - high density,15,waiver - small num of spaces,0
1089408,121184627,2018,6,required - high density,2,waiver - small/narrow,0
1090567,121184869,2019,22,required - high density,9,waiver - small num of spaces,0
1090258,121185671,2017,49,required - high density,20,waiver - small num of spaces,5
1089888,121185715,2020,6,required - high density,2,waiver - small num of spaces,0
1090725,121185751,2019,73,required - high density,37,waiver - small/narrow,0
1090330,121186000,2017,34,required - high density,17,waiver - small/narrow,0
1090502,121186153,2019,5,required - high density,3,waiver - small/narrow,0
1090558,121187517,2019,134,required - high density,67,waiver - small num of spaces,52
1090183,121187660,2020,79,required - high density,32,waiver - small num of spaces,17
1090196,121187795,2019,39,required - high density,12,waiver - small num of spaces,0
1090804,121188393,2020,80,required - high density,32,waiver - small/narrow,0
1089835,121190022,2018,179,required - high density,90,waiver - small num of spaces,75
1090826,121190326,2019,211,required - high density,84,waiver - small num of spaces,69
